country,year,centaxgdp
Denmark,1820,4
Denmark,1821,5
Denmark,1822,5
Denmark,1823,5
Denmark,1824,5
Denmark,1825,4
Denmark,1826,4
Denmark,1827,4
Denmark,1828,4
Denmark,1829,4
Denmark,1830,4
Denmark,1831,4
Denmark,1832,4
Denmark,1833,4
Denmark,1834,4
Denmark,1835,4
Denmark,1836,4
Denmark,1837,4
Denmark,1838,4
Denmark,1839,4
Denmark,1840,4
Denmark,1841,3
Denmark,1842,3
Denmark,1843,3
Denmark,1844,3
Denmark,1845,3
Denmark,1846,3
Denmark,1847,3
Denmark,1848,3
Denmark,1849,4
Denmark,1850,4
Denmark,1851,4
Denmark,1852,3
Denmark,1853,4
Denmark,1854,3
Denmark,1855,3
Denmark,1856,3
Denmark,1857,3
Denmark,1858,3
Denmark,1859,3
Denmark,1860,3
Denmark,1861,3
Denmark,1862,3
Denmark,1863,3
Denmark,1864,2
Denmark,1865,2
Denmark,1866,2
Denmark,1867,5
Denmark,1868,5
Denmark,1869,4
Denmark,1870,4
Denmark,1871,5
Denmark,1872,5
Denmark,1873,4
Denmark,1874,5
Denmark,1875,5
Denmark,1876,5
Denmark,1877,5
Denmark,1878,5
Denmark,1879,5
Denmark,1880,5
Denmark,1881,5
Denmark,1882,5
Denmark,1883,5
Denmark,1884,5
Denmark,1885,5
Denmark,1886,5
Denmark,1887,5
Denmark,1888,5
Denmark,1889,5
Denmark,1890,5
Denmark,1891,5
Denmark,1892,5
Denmark,1893,5
Denmark,1894,5
Denmark,1895,5
Denmark,1896,5
Denmark,1897,5
Denmark,1898,5
Denmark,1899,5
Denmark,1900,5
Denmark,1901,5
Denmark,1902,5
Denmark,1903,5
Denmark,1904,5
Denmark,1905,5
Denmark,1906,5
Denmark,1907,5
Denmark,1908,5
Denmark,1909,4
Denmark,1910,4
Denmark,1911,4
Denmark,1912,4
Denmark,1913,4
Denmark,1914,4
Denmark,1915,4
Denmark,1916,6
Denmark,1917,9
Denmark,1918,8
Denmark,1919,10
Denmark,1920,7
Denmark,1921,8
Denmark,1922,7
Denmark,1923,7
Denmark,1924,6
Denmark,1925,7
Denmark,1926,8
Denmark,1927,7
Denmark,1928,7
Denmark,1929,7
Denmark,1930,7
Denmark,1931,7
Denmark,1932,8
Denmark,1933,8
Denmark,1934,8
Denmark,1935,7
Denmark,1936,7
Denmark,1937,7
Denmark,1938,7
Denmark,1939,8
Denmark,1940,10
Denmark,1941,9
Denmark,1942,10
Denmark,1943,10
Denmark,1944,10
Denmark,1945,10
Denmark,1946,14
Denmark,1947,15
Denmark,1948,14
Denmark,1949,13
Denmark,1950,11
Denmark,1951,12
Denmark,1952,12
Denmark,1953,12
Denmark,1954,13
Denmark,1955,14
Denmark,1956,14
Denmark,1957,14
Denmark,1958,16
Denmark,1959,16
Denmark,1960,16
Denmark,1961,16
Denmark,1962,17
Denmark,1963,19
Denmark,1964,18
Denmark,1965,19
Denmark,1966,21
Denmark,1967,20
Denmark,1968,24
Denmark,1969,25
Denmark,1970,28
Denmark,1971,30
Denmark,1972,29
Denmark,1973,28
Denmark,1974,30
Denmark,1975,26
Denmark,1976,27
Denmark,1977,27
Denmark,1978,29
Denmark,1979,29
Denmark,1980,29
Denmark,1981,29
Denmark,1982,28
Denmark,1983,29
Denmark,1984,30
Denmark,1985,32
Denmark,1986,34
Denmark,1987,34
Denmark,1988,33
Denmark,1989,32
Denmark,1990,31
Denmark,1991,30
Denmark,1992,30
Denmark,1993,31
Denmark,1994,32
Denmark,1995,32
Denmark,1996,32
Denmark,1997,32
Denmark,1998,32
Denmark,1999,32
Denmark,2000,31
Denmark,2001,30
Denmark,2002,29
Denmark,2003,29
Denmark,2004,31
Denmark,2005,33
Denmark,2006,32
Denmark,2007,36
Denmark,2008,35
Denmark,2009,34
Denmark,2010,34
Denmark,2011,34
Denmark,2012,34
Denmark,2013,34
Denmark,2014,37
Denmark,2015,34
Denmark,2016,34
Denmark,2017,34
Denmark,2018,32
Denmark,2019,35
Denmark,2020,35
Finland,1882,7
Finland,1883,7
Finland,1884,7
Finland,1885,8
Finland,1886,8
Finland,1887,8
Finland,1888,7
Finland,1889,7
Finland,1890,6
Finland,1891,6
Finland,1892,7
Finland,1893,7
Finland,1894,7
Finland,1895,7
Finland,1896,7
Finland,1897,6
Finland,1898,6
Finland,1899,6
Finland,1900,6
Finland,1901,10
Finland,1902,10
Finland,1903,10
Finland,1904,10
Finland,1905,10
Finland,1906,11
Finland,1907,11
Finland,1908,12
Finland,1909,11
Finland,1910,11
Finland,1911,11
Finland,1912,11
Finland,1913,11
Finland,1914,11
Finland,1915,11
Finland,1916,13
Finland,1917,12
Finland,1918,9
Finland,1919,12
Finland,1920,13
Finland,1921,14
Finland,1922,15
Finland,1923,16
Finland,1924,16
Finland,1925,15
Finland,1926,15
Finland,1927,15
Finland,1928,16
Finland,1929,16
Finland,1930,18
Finland,1931,18
Finland,1932,11
Finland,1933,12
Finland,1934,13
Finland,1935,13
Finland,1936,12
Finland,1937,12
Finland,1938,13
Finland,1939,13
Finland,1940,12
Finland,1941,23
Finland,1942,26
Finland,1943,26
Finland,1944,25
Finland,1945,23
Finland,1946,30
Finland,1947,24
Finland,1948,24
Finland,1949,25
Finland,1950,24
Finland,1951,22
Finland,1952,20
Finland,1953,23
Finland,1954,20
Finland,1955,20
Finland,1956,21
Finland,1957,21
Finland,1958,20
Finland,1959,21
Finland,1960,22
Finland,1961,20
Finland,1962,22
Finland,1963,19
Finland,1964,21
Finland,1965,22
Finland,1966,22
Finland,1967,23
Finland,1968,24
Finland,1969,23
Finland,1970,23
Finland,1971,23
Finland,1972,20
Finland,1973,21
Finland,1974,20
Finland,1975,20
Finland,1976,23
Finland,1977,22
Finland,1978,21
Finland,1979,19
Finland,1980,20
Finland,1981,21
Finland,1982,20
Finland,1983,21
Finland,1984,22
Finland,1985,22
Finland,1986,23
Finland,1987,22
Finland,1988,24
Finland,1989,24
Finland,1990,23
Finland,1991,23
Finland,1992,22
Finland,1993,21
Finland,1994,22
Finland,1995,21
Finland,1996,23
Finland,1997,23
Finland,1998,23
Finland,1999,23
Finland,2000,25
Finland,2001,23
Finland,2002,23
Finland,2003,23
Finland,2004,23
Finland,2005,23
Finland,2006,22
Finland,2007,22
Finland,2008,21
Finland,2009,20
Finland,2010,19
Finland,2011,21
Finland,2012,20
Finland,2013,21
Finland,2014,21
Finland,2015,21
Finland,2016,21
Finland,2017,21
Finland,2018,21
Finland,2019,21
Finland,2020,20
Norway,1851,4
Norway,1852,4
Norway,1853,4
Norway,1854,3
Norway,1855,3
Norway,1856,3
Norway,1857,3
Norway,1858,4
Norway,1859,4
Norway,1860,3
Norway,1861,3
Norway,1862,3
Norway,1863,3
Norway,1864,3
Norway,1865,3
Norway,1866,3
Norway,1867,3
Norway,1868,3
Norway,1869,3
Norway,1870,3
Norway,1871,3
Norway,1872,3
Norway,1873,3
Norway,1874,3
Norway,1875,3
Norway,1876,3
Norway,1877,3
Norway,1878,4
Norway,1879,4
Norway,1880,3
Norway,1881,3
Norway,1882,4
Norway,1883,3
Norway,1884,4
Norway,1885,4
Norway,1886,4
Norway,1887,4
Norway,1888,4
Norway,1889,4
Norway,1890,4
Norway,1891,4
Norway,1892,4
Norway,1893,4
Norway,1894,4
Norway,1895,4
Norway,1896,5
Norway,1897,5
Norway,1898,5
Norway,1899,4
Norway,1900,5
Norway,1901,5
Norway,1902,5
Norway,1903,5
Norway,1904,5
Norway,1905,5
Norway,1906,5
Norway,1907,5
Norway,1908,6
Norway,1909,5
Norway,1910,5
Norway,1911,5
Norway,1912,5
Norway,1913,5
Norway,1914,5
Norway,1915,4
Norway,1916,5
Norway,1917,10
Norway,1918,9
Norway,1919,9
Norway,1920,3
Norway,1921,7
Norway,1922,6
Norway,1923,6
Norway,1924,6
Norway,1925,6
Norway,1926,7
Norway,1927,8
Norway,1928,7
Norway,1929,7
Norway,1930,7
Norway,1931,8
Norway,1932,8
Norway,1933,8
Norway,1934,8
Norway,1935,9
Norway,1936,9
Norway,1937,9
Norway,1938,10
Norway,1939,10
Norway,1940,11
Norway,1941,12
Norway,1942,13
Norway,1943,14
Norway,1944,15
Norway,1945,17
Norway,1946,17
Norway,1947,19
Norway,1948,18
Norway,1949,17
Norway,1950,17
Norway,1951,17
Norway,1952,17
Norway,1953,17
Norway,1954,17
Norway,1955,17
Norway,1956,16
Norway,1957,17
Norway,1958,17
Norway,1959,16
Norway,1960,17
Norway,1961,17
Norway,1962,18
Norway,1963,18
Norway,1964,18
Norway,1965,20
Norway,1966,20
Norway,1967,20
Norway,1968,19
Norway,1969,20
Norway,1970,17
Norway,1971,19
Norway,1972,20
Norway,1973,20
Norway,1974,20
Norway,1975,20
Norway,1976,21
Norway,1977,21
Norway,1978,21
Norway,1979,22
Norway,1980,25
Norway,1981,26
Norway,1982,25
Norway,1983,24
Norway,1984,24
Norway,1985,25
Norway,1986,25
Norway,1987,23
Norway,1988,22
Norway,1989,22
Norway,1990,22
Norway,1991,23
Norway,1992,22
Norway,1993,22
Norway,1994,23
Norway,1995,24
Norway,1996,24
Norway,1997,25
Norway,1998,25
Norway,1999,26
Norway,2000,36
Norway,2001,36
Norway,2002,37
Norway,2003,36
Norway,2004,37
Norway,2005,37
Norway,2006,38
Norway,2007,38
Norway,2008,37
Norway,2009,37
Norway,2010,37
Norway,2011,38
Norway,2012,36
Norway,2013,35
Norway,2014,34
Norway,2015,33
Norway,2016,33
Norway,2017,33
Norway,2018,34
Norway,2019,34
Norway,2020,33
Sweden,1800,7
Sweden,1801,6
Sweden,1802,8
Sweden,1803,20
Sweden,1804,9
Sweden,1805,9
Sweden,1806,8
Sweden,1807,7
Sweden,1808,11
Sweden,1809,6
Sweden,1810,8
Sweden,1811,7
Sweden,1812,9
Sweden,1813,13
Sweden,1814,13
Sweden,1815,8
Sweden,1816,6
Sweden,1817,6
Sweden,1818,6
Sweden,1819,6
Sweden,1820,6
Sweden,1821,6
Sweden,1822,7
Sweden,1823,7
Sweden,1824,7
Sweden,1825,6
Sweden,1826,7
Sweden,1827,6
Sweden,1828,6
Sweden,1829,7
Sweden,1830,7
Sweden,1831,7
Sweden,1832,6
Sweden,1833,6
Sweden,1834,6
Sweden,1835,6
Sweden,1836,6
Sweden,1837,7
Sweden,1838,7
Sweden,1839,6
Sweden,1840,6
Sweden,1841,6
Sweden,1842,6
Sweden,1843,6
Sweden,1844,5
Sweden,1845,6
Sweden,1846,6
Sweden,1847,5
Sweden,1848,6
Sweden,1849,6
Sweden,1850,5
Sweden,1851,6
Sweden,1852,5
Sweden,1853,5
Sweden,1854,5
Sweden,1855,5
Sweden,1856,5
Sweden,1857,4
Sweden,1858,4
Sweden,1859,5
Sweden,1860,5
Sweden,1861,4
Sweden,1862,4
Sweden,1863,4
Sweden,1864,4
Sweden,1865,4
Sweden,1866,4
Sweden,1867,4
Sweden,1868,4
Sweden,1869,4
Sweden,1870,4
Sweden,1871,4
Sweden,1872,4
Sweden,1873,4
Sweden,1874,4
Sweden,1875,4
Sweden,1876,4
Sweden,1877,4
Sweden,1878,4
Sweden,1879,4
Sweden,1880,5
Sweden,1881,5
Sweden,1882,5
Sweden,1883,4
Sweden,1884,5
Sweden,1885,5
Sweden,1886,5
Sweden,1887,5
Sweden,1888,6
Sweden,1889,6
Sweden,1890,6
Sweden,1891,5
Sweden,1892,5
Sweden,1893,5
Sweden,1894,6
Sweden,1895,6
Sweden,1896,6
Sweden,1897,6
Sweden,1898,6
Sweden,1899,6
Sweden,1900,6
Sweden,1901,5
Sweden,1902,5
Sweden,1903,6
Sweden,1904,6
Sweden,1905,6
Sweden,1906,5
Sweden,1907,5
Sweden,1908,5
Sweden,1909,5
Sweden,1910,6
Sweden,1911,6
Sweden,1912,5
Sweden,1913,5
Sweden,1914,5
Sweden,1915,6
Sweden,1916,6
Sweden,1917,8
Sweden,1918,8
Sweden,1919,7
Sweden,1920,6
Sweden,1921,7
Sweden,1922,6
Sweden,1923,6
Sweden,1924,6
Sweden,1925,6
Sweden,1926,6
Sweden,1927,6
Sweden,1928,6
Sweden,1929,6
Sweden,1930,6
Sweden,1931,6
Sweden,1932,7
Sweden,1933,7
Sweden,1934,7
Sweden,1935,8
Sweden,1936,8
Sweden,1937,8
Sweden,1938,9
Sweden,1939,10
Sweden,1940,11
Sweden,1941,11
Sweden,1942,13
Sweden,1943,13
Sweden,1944,14
Sweden,1945,15
Sweden,1946,13
Sweden,1947,15
Sweden,1948,15
Sweden,1949,14
Sweden,1950,15
Sweden,1951,17
Sweden,1952,16
Sweden,1953,16
Sweden,1954,16
Sweden,1955,18
Sweden,1956,17
Sweden,1957,18
Sweden,1958,19
Sweden,1959,19
Sweden,1960,21
Sweden,1961,20
Sweden,1962,21
Sweden,1963,20
Sweden,1964,21
Sweden,1965,22
Sweden,1966,22
Sweden,1967,21
Sweden,1968,22
Sweden,1969,23
Sweden,1970,23
Sweden,1971,24
Sweden,1972,23
Sweden,1973,20
Sweden,1974,20
Sweden,1975,21
Sweden,1976,22
Sweden,1977,22
Sweden,1978,20
Sweden,1979,19
Sweden,1980,23
Sweden,1981,23
Sweden,1982,23
Sweden,1983,24
Sweden,1984,24
Sweden,1985,26
Sweden,1986,28
Sweden,1987,30
Sweden,1988,29
Sweden,1989,28
Sweden,1990,27
Sweden,1991,24
Sweden,1992,21
Sweden,1993,20
Sweden,1994,21
Sweden,1995,22
Sweden,1996,23
Sweden,1997,25
Sweden,1998,30
Sweden,1999,32
Sweden,2000,31
Sweden,2001,28
Sweden,2002,26
Sweden,2003,26
Sweden,2004,27
Sweden,2005,28
Sweden,2006,27
Sweden,2007,26
Sweden,2008,25
Sweden,2009,24
Sweden,2010,24
Sweden,2011,23
Sweden,2012,27
Sweden,2013,27
Sweden,2014,27
Sweden,2015,27
Sweden,2016,28
Sweden,2017,28
Sweden,2018,28
Sweden,2019,28
Sweden,2020,27